ResourceName,ParentAgencyName
Meals on Wheels and Congregate Meals,Senior Citizerns Services
#WhoWillAnswer,
#WhoWillAnswer,"Communication Service for the Deaf, Inc. (CSD)  of Texas"
"$5,000 Homebuyer Program",City of Corpus Christi Neighborhood Services
$ave USA,Volunteer Income Tax Assistance - Alamo Region
$aveUSA,Volunteer Income Tax Assistance - Alamo Region
(ACTS),
(CDHO) HUD Certified Housing Counseling,"El Paso Community Action Program, Project Bravo, Inc."
000 - Medina County Health Unit,Medina County Health Unit
1-800-FREE-411,Free 4-1-1
1-800-RUNAWAY,National Runaway Safeline
100+ Black Women Coalition of Beaumont,
10th Annual National Health Centers Week Backpack & School Supply Giveaway,La Esperanza Health & Dental Centers
118th Judicial District Juvenile  Probation,
118th Judicial District Juvenile  Probation,118th Judicial District Juvenile  Probation
12 Step,Concho Valley Turning Point
12 Step Alcohol and Substance Recovery,Chrysalis Ministries
12-Step Meeting Facility,The Council on Recovery
12-step Substance Abuse Recovery,Palmer Drug Abuse Program-Houston
"180 House, Inc.",
1st Assembly of God Food Pantry,"1st Assembly of God, Fritch"
"1st Assembly of God, Fritch",
2-1-1,
2-1-1,City of El Paso Department of Public Health
2-1-1,Golden Crescent Regional Planning Commission
2-1-1,United Way of Abilene
2-1-1 Administration,North Texas Area United Way
2-1-1 Area Information Center of Southeast Texas,South East Texas Regional Planning Commission
2-1-1 Directory/Resource List Publication,South East Texas Regional Planning Commission
2-1-1 North Texas,North Texas Area United Way
2-1-1 Seasonal Text Program,United Way of the Brazos Valley
2-1-1 Texas,Community Council of the Rio Grande Valley
2-1-1 Texas,Concho Valley Council of Governments CVCOG
2-1-1 Texas,Hopkins County Community Action Network-DBA CANHelp
2-1-1 Texas,Texas Health and Human Services Commission (HHSC)
2-1-1 Texas,United Way of Tarrant County
2-1-1 Texas A Call for Help,United Way of Abilene
2-1-1 Texas Infoline,Community Council of Greater Dallas
2-1-1 Texas Panhandle,United Way of Amarillo & Canyon
2-1-1 Texas Permian Basin,Permian Basin Workforce Development Board
2-1-1 Texas Rio Grande,City of El Paso Department of Public Health
2-1-1 Texas/United Way,United Way for Greater Austin
2-1-1 Texas/United Way Helpline,United Way of Greater Houston
2-1-1 Texoma Area Information Center,
2-1-1 Texoma Area Information Center,2-1-1 Texoma Area Information Center
200 Oblate Apartments/Murray Manor Apartments,United States Department of Housing and Urban Development
2012 Toys for Tots,Boys and Girls Club of Northeast Texas
211 Alamo Area Information Center,United Way of San Antonio and Bexar County
211 Systems,Community Council of Greater Dallas
211 Texas/United Way,United Way for Greater Austin
214 Martin Assisted Living Facility,
21st Century Kids,
21st Century Kids,"Austin Area Urban League, Inc."
24 - Hour Crisis Hotline,"Women Together Foundation, Inc."
24 - Hour Crisis Intervention,Betty Hardwick Center
24 Hour Club,
24 Hour Club,Project Helping Hand
24 Pet Watch Microchip Identification Service,San Antonio Humane Society
24-Hour Crisis Hopeline for Sexual Assualt and Domestic Violence,Center Against Sexual and Family Violence
24/7 Helpline,Alzheimer's Association - Greater Dallas Headquarters Chapter
24/7 Helpline,Alzheimer's Association of El Paso
24PetWatch Microchip Identification Service,San Antonio Humane Society
2gether in texas,Texas Health and Human Services Commission (HHSC)
2love1,
3 A Bereavement Foundation,
3-1-1 Service Helpline,"Beaumont, City of"
311,
311,City of Laredo - Information Services and Telecommunications - Administration
311 - City of El Paso Information Line,
311 - City of San Antonio Information Line,City of San Antonio - 311 Customer Service
311 Beaumont,"Beaumont, City of"
311 City of San Antonio Information Line,
311 Helpline,"Beaumont, City of"
311 Service,"Beaumont, City of"
311 Service Helpline,City Of Houston 3-1-1 Service Center
311 Service Line,311 - City of El Paso Information Line
311 Services,City of League City
33rd Judicial District Attorney's Victim Assistance Division,
33rd Judicial District Attorney's Victim Assistance Division - Victim Services,33rd Judicial District Attorney's Victim Assistance Division
34th Street Goodwill of Lubbock,Goodwill Industries of Northwest Texas
357 Food Pantry ,
357 Food Pantry,357 Food Pantry 
36th Judicial District Juvenile Probation Department,
3PK Program,Austin Independent School District (AISD)
4 His Glory Ministries,
4 His Glory Ministries,4 His Glory Ministries
4-H,Texas A&M AgriLife Extension Service of Victoria County
4-H and Youth Club Programs,Texas A&M  AgriLife Extention Service
4-H and Youth Development,Texas A&M AgriLife Extension Service - Gillespie County
4-H Martin County Extension Service,Texas A & M AgriLife Extension Service- Martin County
4-H Program,Texas A&M Agrilife Extension Service - Johnson County
4-H Program,Texas A&M Agrilife Extension Service of Jefferson County
4-H Youth Program,Texas A&M Agrilife Extension Service - Tarrant County
4H Youth Programs,Texas A&M AgriLife Extension Service - Kendall County
4PK Program,Austin Independent School District (AISD)
50 + Zone,50+ Zone
50 Plus,
50 Plus,50+ Zone
50+ Zone,
504/Dyslexia Support Services,Austin Independent School District (AISD)
5210=8,North Texas Area United Way
5310 Mid-County Senior Citizens and Disability Related Transportation,Nutrition and Services for Seniors
6 Stones Mission Network,
68 Nurse,Midland Memorial Hospital
7-1-1,Public Utility Commission of Texas (PUC)
711,Public Utility Commission of Texas (PUC)
75020,
78744 Youth of Promise Initiative YIP,
78744 Youth of Promise Initiative YIP,Communities in Schools of Central Texas (CIS)
7th and Main Baptist Church Thanksgiving Meal,
7th and Main Baptist Church Thanksgiving Meal,7th and Main Baptist Church Thanksgiving Meal
87-20 Special Education Shared Service Arrangement,
8th Judicial District Court,
8th Judicial District Juvenile Probation,
8th Judicial District Juvenile Probation,8th Judicial District Juvenile Probation
9-1-1 / 3-1-1 Communication Center,
9-1-1 Administration,South East Texas Regional Planning Commission
9-1-1 Communications,Golden Crescent Regional Planning Commission
9-1-1 Emergency,Hardin County Sheriff's Office
9-1-1 Emergency Communications,South Plains Association of Governments
9-1-1 Emergency Services,Heart of Texas Council of Governments
9-1-1 Program,Alamo Area Council of Governments
